user,video,wavesegment,energy,entropy,sd,valence,arousal,combined
1,1,1,23.862,-1.810,4.458,2,2,4
1,1,2,7.250,-1.334,4.458,2,2,4
1,1,3,2.589,-1.914,4.458,2,2,4
1,1,4,0.553,-1.439,4.458,2,2,4
1,1,5,18.248,-2.503,4.458,2,2,4
1,1,6,5.495,-1.331,4.458,2,2,4
1,1,7,19.522,-1.601,4.458,2,2,4
1,1,8,0.615,-1.213,4.458,2,2,4
1,1,9,16.232,-0.907,4.458,2,2,4
1,1,10,11.802,-2.053,4.458,2,2,4
1,2,1,9.688,-0.881,4.458,2,2,4
1,2,2,10.135,-2.139,4.458,2,2,4
1,2,3,36.456,-1.882,4.458,2,2,4
1,2,4,16.980,-1.780,4.458,2,2,4
1,2,5,1.645,-1.750,4.458,2,2,4
1,2,6,20.970,-1.718,4.458,2,2,4
1,2,7,11.198,-2.361,4.458,2,2,4
1,2,8,0.557,-0.687,4.458,2,2,4
1,2,9,10.464,-0.791,4.458,2,2,4
1,2,10,12.269,-1.276,4.458,2,2,4
1,3,1,6.946,-0.861,4.458,2,2,4
1,3,2,1.679,-1.008,4.458,2,2,4
1,3,3,7.427,-0.552,4.458,2,2,4
1,3,4,5.657,-1.538,4.458,2,2,4
1,3,5,1.041,-2.760,4.458,2,2,4
1,3,6,25.353,-1.718,4.458,2,2,4
1,3,7,28.377,-2.051,4.458,2,2,4
1,3,8,10.593,-1.042,4.458,2,2,4
1,3,9,8.216,-2.664,4.458,2,2,4
1,3,10,38.611,-2.136,4.458,2,2,4
1,4,1,9.658,-1.043,4.458,1,2,2
1,4,2,8.628,-2.029,4.458,1,2,2
1,4,3,6.700,-1.213,4.458,1,2,2
1,4,4,5.249,-2.075,4.458,1,2,2
1,4,5,60.407,-2.454,4.458,1,2,2
1,4,6,9.587,-0.771,4.458,1,2,2
1,4,7,5.507,-1.659,4.458,1,2,2
1,4,8,14.706,-2.498,4.458,1,2,2
1,4,9,74.835,-2.184,4.458,1,2,2
1,4,10,19.890,-1.459,4.458,1,2,2
1,5,1,34.756,-1.924,4.458,2,1,3
1,5,2,2.955,-3.685,4.458,2,1,3
1,5,3,19.229,-2.565,4.458,2,1,3
1,5,4,7.144,-1.691,4.458,2,1,3
1,5,5,28.005,-1.223,4.458,2,1,3
1,5,6,4.289,-1.131,4.458,2,1,3
1,5,7,6.313,-0.716,4.458,2,1,3
1,5,8,7.919,-0.533,4.458,2,1,3
1,5,9,3.189,-0.460,4.458,2,1,3
1,5,10,12.972,-0.941,4.458,2,1,3
