user,video,delta,theta,alpha,beta,op
1,1,-2.290,-0.310,-2.941,-0.298,4
1,2,-2.301,-0.325,-2.291,-0.286,4
1,3,-2.480,-0.311,-2.655,-0.296,4
1,4,-2.657,-0.319,-3.609,-0.286,2
1,5,-2.412,-0.303,-3.320,-0.303,3
1,6,-2.317,-0.318,-2.233,-0.294,3
1,7,-2.174,-0.311,-2.585,-0.299,3
1,8,-2.746,-0.310,-3.024,-0.295,3
1,9,-2.672,-0.321,-3.381,-0.284,1
1,10,-2.412,-0.310,-3.259,-0.296,1
1,11,-2.545,-0.316,-3.919,-0.289,1
1,12,-2.406,-0.308,-3.356,-0.297,1
1,13,-2.266,-0.306,-3.654,-0.301,1
1,14,-2.803,-0.328,-2.983,-0.278,1
1,15,-2.682,-0.311,-2.349,-0.297,2
1,16,-2.369,-0.331,-2.900,-0.278,4
1,17,-2.406,-0.312,-3.925,-0.293,2
1,18,-2.314,-0.318,-4.231,-0.289,4
1,19,-2.311,-0.312,-3.257,-0.295,4
1,20,-2.386,-0.308,-3.023,-0.299,4
1,21,-2.303,-0.307,-3.382,-0.300,4
1,22,-2.404,-0.310,-4.170,-0.296,3
1,23,-2.594,-0.311,-2.820,-0.295,3
1,24,-2.476,-0.304,-2.604,-0.303,4
1,25,-2.444,-0.317,-2.820,-0.290,4
1,26,-2.501,-0.309,-3.088,-0.297,4
1,27,-2.415,-0.309,-2.856,-0.298,4
1,28,-2.386,-0.305,-3.923,-0.301,1
1,29,-2.466,-0.315,-3.045,-0.291,1
1,30,-2.513,-0.317,-2.369,-0.292,1
1,31,-2.253,-0.314,-2.838,-0.294,2
1,32,-2.543,-0.307,-3.291,-0.298,2
1,33,-2.500,-0.328,-3.170,-0.279,1
1,34,-2.619,-0.315,-3.353,-0.290,2
1,35,-1.992,-0.310,-2.646,-0.303,2
1,36,-1.943,-0.318,-2.953,-0.295,2
1,37,-2.534,-0.321,-3.475,-0.285,2
1,38,-2.702,-0.311,-3.410,-0.294,2
1,39,-2.434,-0.307,-3.804,-0.298,2
1,40,-2.381,-0.304,-2.721,-0.303,4
2,1,-1.998,-0.333,-3.189,-0.280,4
2,2,-1.972,-0.314,-3.999,-0.297,4
2,3,-1.838,-0.317,-2.301,-0.303,4
2,4,-1.757,-0.340,-2.113,-0.286,3
2,5,-1.883,-0.319,-2.613,-0.297,3
2,6,-1.903,-0.330,-2.798,-0.286,3
2,7,-1.950,-0.316,-2.703,-0.298,1
2,8,-2.137,-0.312,-3.095,-0.297,4
2,9,-1.999,-0.318,-2.750,-0.295,4
2,10,-1.909,-0.326,-1.971,-0.296,1
2,11,-1.900,-0.314,-2.801,-0.301,3
2,12,-2.062,-0.334,-3.565,-0.278,4
2,13,-1.953,-0.319,-2.190,-0.299,3
2,14,-1.766,-0.319,-2.158,-0.304,4
2,15,-1.759,-0.329,-3.991,-0.290,4
2,16,-1.999,-0.318,-1.921,-0.303,4
2,17,-1.976,-0.313,-3.354,-0.299,3
2,18,-1.830,-0.319,-3.031,-0.297,4
2,19,-1.984,-0.309,-3.838,-0.302,4
2,20,-1.945,-0.310,-4.279,-0.302,4
2,21,-2.033,-0.396,-2.696,-0.231,1
2,22,-2.121,-0.318,-3.093,-0.292,1
2,23,-1.819,-0.316,-2.955,-0.300,1
2,24,-1.922,-0.314,-3.278,-0.300,4
2,25,-1.845,-0.321,-3.389,-0.295,4
2,26,-1.907,-0.318,-2.612,-0.297,4
2,27,-2.032,-0.316,-5.154,-0.294,2
2,28,-1.985,-0.329,-3.132,-0.284,1
2,29,-1.920,-0.319,-2.308,-0.299,2
2,30,-1.959,-0.321,-3.001,-0.292,2
2,31,-1.915,-0.331,-2.621,-0.285,2
2,32,-2.091,-0.316,-3.429,-0.294,2
2,33,-2.047,-0.315,-3.199,-0.296,2
2,34,-1.972,-0.313,-3.534,-0.298,1
